CustomerKey;FirstName;MiddleName;LastName;Full_Name;MaritalStatus;Gender;DateFirstPurchase;Customer city
11062;Noah;D;Powell;Noah Powell;M;Male;2023-01-07;Portland
11063;Angela;NULL;Murphy;Angela Murphy;S;Female;2023-01-12;Redmond
11064;Chase;NULL;Reed;Chase Reed;M;Male;2023-01-25;Downey
11065;Jessica;NULL;Henderson;Jessica Henderson;M;Female;2023-02-10;La Jolla
11066;Grace;T;Butler;Grace Butler;M;Female;2023-05-31;Lebanon
11067;Caleb;F;Carter;Caleb Carter;S;Male;2023-08-18;Port Orchard
11068;Tiffany;NULL;Liang;Tiffany Liang;S;Female;2023-04-30;Warrnambool
11069;Carolyn;NULL;Navarro;Carolyn Navarro;S;Female;2021-04-17;Gold Coast
11070;Willie;T;Raji;Willie Raji;M;Male;2021-04-28;Sunbury
11071;Linda;NULL;Serrano;Linda Serrano;S;Female;2023-03-01;Hawthorne
11072;Casey;NULL;Luo;Casey Luo;S;Female;2021-03-31;St. Leonards
11073;Amy;NULL;Ye;Amy Ye;S;Female;2023-03-23;Springwood
11074;Levi;A;Arun;Levi Arun;S;Male;2023-03-23;Cloverdale
11075;Felicia;L;Jimenez;Felicia Jimenez;S;Female;2021-04-28;Bendigo
11076;Blake;NULL;Anderson;Blake Anderson;S;Male;2021-04-21;Wollongong
11077;Leah;NULL;Ye;Leah Ye;S;Female;2021-04-15;Melton
11078;Gina;E;Martin;Gina Martin;S;Female;2023-02-15;Cliffside
11079;Donald;NULL;Gonzalez;Donald Gonzalez;S;Male;2023-03-15;Geelong
11080;Damien;NULL;Chander;Damien Chander;M;Male;2021-04-10;Perth
11081;Savannah;C;Baker;Savannah Baker;M;Female;2023-02-12;Concord
11082;Angela;L;Butler;Angela Butler;S;Female;2023-01-22;Fremont
11083;Alyssa;F;Cox;Alyssa Cox;M;Female;2023-01-06;Lincoln Acres
11084;Lucas;NULL;Phillips;Lucas Phillips;S;Male;2023-01-04;Lebanon
11085;Emily;NULL;Johnson;Emily Johnson;S;Female;2023-12-06;Newport Beach
11086;Ryan;NULL;Brown;Ryan Brown;M;Male;2023-07-02;Santa Monica
11087;Tamara;L;Liang;Tamara Liang;M;Female;2023-02-25;Chula Vista
11088;Hunter;NULL;Davis;Hunter Davis;M;Male;2023-01-13;San Diego
11089;Abigail;M;Price;Abigail Price;S;Female;2022-12-29;Long Beach
11090;Trevor;NULL;Bryant;Trevor Bryant;S;Male;2021-08-07;Los Angeles
11091;Dalton;NULL;Perez;Dalton Perez;M;Male;2023-01-29;Haney
11092;Cheryl;A;Diaz;Cheryl Diaz;M;Female;2021-04-08;East Brisbane
11093;Aimee;A;He;Aimee He;M;Female;2021-04-07;Wollongong
11094;Cedric;W;Ma;Cedric Ma;S;Male;2023-04-07;Cranbourne
11095;Chad;NULL;Kumar;Chad Kumar;S;Male;2021-04-01;Port Macquarie
11096;Andrés;NULL;Anand;Andrés Anand;M;Male;2021-04-11;North Sydney
11097;Edwin;R;Nara;Edwin Nara;M;Male;2021-04-04;Warrnambool
11098;Mallory;S;Rubio;Mallory Rubio;S;Female;2023-02-11;Rhodes
11099;Adam;NULL;Ross;Adam Ross;M;Male;2021-04-07;Port Macquarie
11100;Latasha;L;Navarro;Latasha Navarro;S;Female;2021-04-16;Cloverdale
11101;Abby;L;Sai;Abby Sai;S;Female;2021-04-29;Cranbourne
11102;Julia;L;Nelson;Julia Nelson;S;Female;2023-07-16;Sydney
11103;Cassie;NULL;Chande;Cassie Chande;S;Female;2021-04-15;Darlinghurst
11104;Edgar;A;Sara;Edgar Sara;M;Male;2021-05-04;Gold Coast
11105;Candace;NULL;Fernandez;Candace Fernandez;S;Female;2021-05-14;Matraville
11106;Jessie;NULL;Liu;Jessie Liu;S;Male;2021-05-18;Warrnambool
11107;Bianca;NULL;Lin;Bianca Lin;M;Female;2021-05-01;St. Leonards
11108;Kari;C;Alvarez;Kari Alvarez;S;Female;2021-05-03;Port Macquarie
11109;Ruben;D;Kapoor;Ruben Kapoor;S;Male;2021-05-10;South Melbourne
11110;Curtis;NULL;Yang;Curtis Yang;M;Male;2021-05-01;Darlinghurst
11111;Meredith;T;Gutierrez;Meredith Gutierrez;M;Female;2021-05-20;Geelong
11112;Crystal;C;Wang;Crystal Wang;M;Female;2021-05-25;Hervey Bay
11113;Micheal;A;Blanco;Micheal Blanco;M;Male;2023-02-01;Perth
11114;Leslie;C;Moreno;Leslie Moreno;S;Female;2023-03-18;Rhodes
11115;Alvin;D;Cai;Alvin Cai;M;Male;2023-02-10;St. Leonards
11116;Clinton;E;Carlson;Clinton Carlson;M;Male;2023-03-15;Sydney
11117;April;NULL;Deng;April Deng;M;Female;2021-05-06;Matraville
11118;Alvin;M;Zeng;Alvin Zeng;S;Male;2023-07-10;Lavender Bay
11119;Evan;V;James;Evan James;S;Male;2023-02-03;Port Macquarie
11120;Beth;H;Jiménez;Beth Jiménez;S;Female;2021-05-14;Sydney
11121;Orlando;NULL;Suarez;Orlando Suarez;M;Male;2023-06-24;Newcastle
11122;Byron;NULL;Vazquez;Byron Vazquez;M;Male;2023-02-21;North Sydney
11123;Philip;A;Alvarez;Philip Alvarez;M;Male;2023-04-17;Sunbury
11124;Ross;F;Jordan;Ross Jordan;S;Male;2021-05-05;Warrnambool
11125;Dana;J;Navarro;Dana Navarro;S;Female;2023-01-31;Seaford
11126;Shaun;NULL;Carson;Shaun Carson;M;Male;2021-05-28;North Ryde
11127;Jan;NULL;Edwards;Jan Edwards;M;Female;2023-04-10;San Gabriel
11128;Samantha;NULL;Long;Samantha Long;M;Female;2023-06-19;Renton
11129;Julia;M;Wright;Julia Wright;S;Female;2021-08-06;Sedro Woolley
11130;Caroline;L;Russell;Caroline Russell;M;Female;2023-12-09;Lebanon
11131;Amanda;NULL;Rivera;Amanda Rivera;M;Female;2023-10-18;Haney
11132;Melissa;E;Richardson;Melissa Richardson;S;Female;2023-04-09;Langford
11133;Angela;NULL;Griffin;Angela Griffin;S;Female;2023-12-30;Lake Oswego
11134;Larry;D;Townsend;Larry Townsend;S;Male;2021-05-03;Perth
11135;Marcus;L;Harris;Marcus Harris;S;Male;2023-04-18;Burlingame
11136;Brianna;D;Morgan;Brianna Morgan;S;Female;2023-01-03;Metchosin
11137;Jasmine;A;Taylor;Jasmine Taylor;M;Female;2023-07-31;Spokane
11138;Lauren;NULL;Davis;Lauren Davis;M;Female;2023-09-19;Glendale
11139;Tanya;NULL;Moreno;Tanya Moreno;S;Female;2023-09-14;Cloverdale
11140;Javier;L;Alvarez;Javier Alvarez;S;Male;2023-03-19;Burbank
11141;Nicole;NULL;Ramirez;Nicole Ramirez;M;Female;2023-05-16;Daly City
11142;Eduardo;NULL;Patterson;Eduardo Patterson;S;Male;2023-02-13;Langford
11143;Jonathan;M;Henderson;Jonathan Henderson;M;Male;2023-06-15;Lakewood
11144;Edward;NULL;Hernandez;Edward Hernandez;S;Male;2023-01-25;Ballard
11145;Jasmine;L;Coleman;Jasmine Coleman;S;Female;2023-01-25;Beaverton
11146;Karla;L;Goel;Karla Goel;S;Female;2023-02-05;Matraville
11147;Ernest;L;Wu;Ernest Wu;M;Male;2021-05-13;Warrnambool
11148;Ross;NULL;Vazquez;Ross Vazquez;M;Male;2023-03-07;East Brisbane
11149;Theodore;NULL;Gill;Theodore Gill;M;Male;2023-06-04;Hervey Bay
11150;Russell;M;Shen;Russell Shen;S;Male;2023-03-27;Sunbury
11151;Melinda;G;Gill;Melinda Gill;S;Female;2021-05-15;Sydney
11152;James;J;Williams;James Williams;S;Male;2023-01-09;Puyallup
11153;Angela;R;James;Angela James;M;Female;2023-03-29;Renton
11154;Megan;G;Walker;Megan Walker;S;Female;2023-01-10;Woodburn
11155;Hunter;J;Robinson;Hunter Robinson;S;Male;2023-01-06;Burbank
11156;Maria;NULL;Roberts;Maria Roberts;S;Female;2023-01-08;Lakewood
11157;Hannah;E;Long;Hannah Long;M;Female;2023-07-24;Tacoma
11158;Jason;K;Wright;Jason Wright;S;Male;2023-01-19;San Gabriel
11159;Brianna;A;Hughes;Brianna Hughes;S;Female;2023-09-08;Woodland Hills
11160;Maurice;M;Tang;Maurice Tang;S;Male;2023-02-21;Concord
11161;Emily;NULL;Wood;Emily Wood;S;Female;2023-06-01;Concord
11162;Chase;NULL;Cox;Chase Cox;S;Male;2023-02-18;La Jolla
11163;Gabriel;NULL;Wang;Gabriel Wang;M;Male;2023-05-01;Spring Valley
11164;Devin;NULL;Brooks;Devin Brooks;S;Male;2023-04-27;Torrance
11165;Jocelyn;NULL;Alexander;Jocelyn Alexander;M;Female;2023-05-25;Oakland
11166;Ashley;NULL;Martinez;Ashley Martinez;S;Female;2023-10-14;Olympia
11167;Jasmine;J;Barnes;Jasmine Barnes;S;Female;2023-01-07;Issaquah
11168;David;NULL;Rodriguez;David Rodriguez;S;Male;2023-01-15;Oakland
11169;Bryce;NULL;Richardson;Bryce Richardson;M;Male;2023-05-26;Coronado
11170;Carol;T;Howard;Carol Howard;M;Female;2023-08-26;Burien
11171;Jonathan;E;Hill;Jonathan Hill;S;Male;2021-08-20;Woodland Hills
11172;Gabrielle;J;Adams;Gabrielle Adams;M;Female;2023-05-03;Lynnwood
11173;Sarah;F;Thomas;Sarah Thomas;S;Female;2023-03-02;W. Linn
11174;Nicholas;NULL;Robinson;Nicholas Robinson;M;Male;2023-07-13;Los Angeles
11175;Luis;NULL;Wang;Luis Wang;S;Male;2021-08-28;Beverly Hills
11176;Mason;D;Roberts;Mason Roberts;M;Male;2023-02-02;Haney
11177;Jose;M;Flores;Jose Flores;M;Male;2023-03-29;San Diego
11178;Nathan;J;Johnson;Nathan Johnson;M;Male;2023-02-21;Lakewood
11179;Molly;E;Rodriguez;Molly Rodriguez;M;Female;2023-03-12;Beverly Hills
11180;April;NULL;Anand;April Anand;M;Female;2023-03-17;Chula Vista
11181;Devin;P;Martin;Devin Martin;M;Male;2023-05-07;Los Angeles
11182;Stephanie;NULL;Torres;Stephanie Torres;S;Female;2023-08-28;Sedro Woolley
11183;Jasmine;W;Lee;Jasmine Lee;S;Female;2023-04-30;Santa Cruz
11184;Meghan;NULL;Hernandez;Meghan Hernandez;S;Female;2023-08-10;Concord
11185;Ashley;NULL;Henderson;Ashley Henderson;S;Female;2023-02-21;Metchosin
11186;Sarah;C;Price;Sarah Price;S;Female;2023-10-18;Palo Alto
11187;Jennifer;S;Cooper;Jennifer Cooper;M;Female;2023-04-03;Burien
11188;Catherine;NULL;Morris;Catherine Morris;M;Female;2023-11-01;San Gabriel
11189;Lawrence;W;Blanco;Lawrence Blanco;S;Male;2021-08-26;Bellingham
11190;Carson;NULL;Bryant;Carson Bryant;M;Male;2023-08-28;Beverly Hills
11191;Kristi;E;Perez;Kristi Perez;S;Female;2021-08-11;Colma
11192;James;C;Brown;James Brown;M;Male;2023-06-23;Seattle
11193;Ian;A;Gray;Ian Gray;M;Male;2023-02-25;Woodburn
11194;Jacqueline;R;Price;Jacqueline Price;M;Female;2023-03-13;Palo Alto
11195;Megan;NULL;Henderson;Megan Henderson;M;Female;2023-04-14;Renton
11196;Alfredo;NULL;Romero;Alfredo Romero;M;Male;2023-03-03;Beaverton
11197;Andrea;NULL;Morris;Andrea Morris;M;Female;2023-05-02;Seattle
11198;Brooke;NULL;Sanders;Brooke Sanders;S;Female;2023-02-05;Santa Cruz
11199;Jacqueline;NULL;Bennett;Jacqueline Bennett;M;Female;2023-03-18;Burlingame
11200;Jason;L;Griffin;Jason Griffin;M;Male;2023-02-07;Victoria
11201;Amanda;NULL;Foster;Amanda Foster;M;Female;2023-07-01;Santa Monica
11202;Alexia;L;Price;Alexia Price;M;Female;2023-09-15;Lakewood
11203;Luis;D;Diaz;Luis Diaz;M;Male;2023-02-20;Port Hammond
11204;Destiny;C;Rivera;Destiny Rivera;M;Female;2023-08-09;Beaverton
11205;Abby;NULL;Fernandez;Abby Fernandez;M;Female;2023-07-27;Burien
11206;Blake;NULL;Flores;Blake Flores;M;Male;2023-05-11;Lynnwood
11207;Danielle;NULL;Cox;Danielle Cox;S;Female;2023-01-31;Renton
11208;Maria;NULL;Reed;Maria Reed;M;Female;2023-03-04;Glendale
11209;Allison;NULL;Evans;Allison Evans;M;Female;2023-03-25;Lincoln Acres
11210;Edward;J;Wood;Edward Wood;M;Male;2023-05-06;West Covina
11211;Samantha;NULL;Russell;Samantha Russell;M;Female;2023-02-01;Haney
11212;Chloe;NULL;Campbell;Chloe Campbell;M;Female;2023-01-30;Metchosin
11213;Stephanie;B;Murphy;Stephanie Murphy;S;Female;2023-03-28;Edmonds
11214;Charles;O;Miller;Charles Miller;S;Male;2023-08-14;Milwaukie
11215;Ana;NULL;Perry;Ana Perry;M;Female;2023-02-15;Royal Oak
11216;Jasmine;A;Torres;Jasmine Torres;S;Female;2021-08-15;Portland
11217;Natalie;P;Adams;Natalie Adams;S;Female;2021-08-10;Portland
11218;Olivia;NULL;Brown;Olivia Brown;S;Female;2023-02-28;Tacoma
11219;Charles;NULL;Cook;Charles Cook;M;Male;2023-10-29;Woodburn
11220;Erica;C;Huang;Erica Huang;M;Female;2023-03-14;Colma
11221;Nathan;NULL;Perry;Nathan Perry;M;Male;2023-04-07;Lakewood
11222;Alexandra;NULL;Rivera;Alexandra Rivera;M;Female;2023-11-01;Santa Monica
11223;Hailey;I;Patterson;Hailey Patterson;S;Female;2023-01-29;Langley
11224;Tiffany;J;Li;Tiffany Li;S;Female;2021-08-07;Burien
11225;Madison;D;Lee;Madison Lee;M;Female;2023-06-22;Renton
11226;Sydney;T;Ross;Sydney Ross;M;Female;2023-02-21;W. Linn
11227;Marshall;D;Chavez;Marshall Chavez;S;Male;2021-08-03;Colma
11228;Ashley;R;Jones;Ashley Jones;M;Female;2023-10-25;El Cajon
11229;Adrian;C;Stewart;Adrian Stewart;S;Male;2023-07-27;Redwood City
11230;Amber;NULL;Turner;Amber Turner;M;Female;2023-07-16;Santa Monica
11231;Dennis;NULL;Zhang;Dennis Zhang;M;Male;2023-02-10;Bremerton
11232;Hailey;R;Bryant;Hailey Bryant;M;Female;2023-09-20;Everett
11233;Todd;NULL;Li;Todd Li;M;Male;2023-02-08;Berkeley
11234;Anna;NULL;Griffin;Anna Griffin;S;Female;2023-02-08;Long Beach
11235;Angel;J;Stewart;Angel Stewart;M;Male;2023-07-04;Ballard
11236;Jeremy;NULL;Butler;Jeremy Butler;S;Male;2023-10-03;Bellingham
11237;Clarence;M;Anand;Clarence Anand;S;Male;2021-09-05;Solingen
11238;Mayra;NULL;Prasad;Mayra Prasad;S;Female;2021-01-06;Birmingham
11239;Latoya;C;Goel;Latoya Goel;M;Female;2021-01-19;London
11240;Anne;B;Hernandez;Anne Hernandez;M;Female;2021-02-27;Watford
11241;Lisa;NULL;Cai;Lisa Cai;S;Female;2022-09-10;Les Ulis
11242;Larry;NULL;Munoz;Larry Munoz;M;Male;2022-09-19;Versailles
11243;Robin;V;Alvarez;Robin Alvarez;M;Female;2021-02-21;Esher-Molesey
11244;Alexis;M;Coleman;Alexis Coleman;S;Female;2021-02-12;Runcorn
11245;Ricky;D;Vazquez;Ricky Vazquez;M;Male;2021-09-26;Hamburg
11246;Latasha;NULL;Rubio;Latasha Rubio;M;Female;2021-10-03;Hamburg
11247;Claudia;M;Zhou;Claudia Zhou;S;Female;2021-02-18;Lancaster
11248;Tristan;P;Alexander;Tristan Alexander;M;Male;2023-07-14;Saint-Denis
11249;Cindy;A;Patel;Cindy Patel;M;Female;2021-10-09;Sulzbach Taunus
11250;Shannon;D;Liu;Shannon Liu;M;Female;2021-03-17;Woolston
11251;Xavier;NULL;Long;Xavier Long;S;Male;2023-10-18;Haney
11252;Nicholas;D;Thompson;Nicholas Thompson;S;Male;2021-08-14;Lemon Grove
11253;José;M;Hernandez;José Hernandez;M;Male;2023-03-01;Victoria
11254;Johnathan;W;Vance;Johnathan Vance;M;Male;2023-11-23;Burien
11255;Colin;NULL;Lin;Colin Lin;M;Male;2023-02-23;Burien
11256;Katelyn;L;Hernandez;Katelyn Hernandez;M;Female;2023-04-15;Lynnwood
11257;Jacqueline;NULL;Powell;Jacqueline Powell;S;Female;2021-08-24;Newport Beach
11258;Xavier;NULL;Hill;Xavier Hill;M;Male;2023-05-21;Palo Alto
11259;Victoria;C;Stewart;Victoria Stewart;M;Female;2021-09-04;Salem
11260;Katelyn;L;Kelly;Katelyn Kelly;M;Female;2023-02-05;Burlingame
11261;Stephanie;NULL;Collins;Stephanie Collins;M;Female;2021-09-27;San Diego
11262;Jennifer;NULL;Simmons;Jennifer Simmons;M;Female;2023-02-27;Port Hammond
11263;Trinity;NULL;Richardson;Trinity Richardson;M;Female;2021-08-29;Burien
11264;Eduardo;NULL;Martin;Eduardo Martin;S;Male;2023-01-02;Issaquah
11265;Elizabeth;P;Jones;Elizabeth Jones;M;Female;2023-01-03;Kirkland
11266;Taylor;NULL;Howard;Taylor Howard;S;Female;2021-09-10;Port Orchard
11267;David;NULL;Diaz;David Diaz;S;Male;2021-09-17;Burlingame
11268;Katelyn;A;Carter;Katelyn Carter;M;Female;2023-05-29;Coronado
11269;Ryan;W;Foster;Ryan Foster;M;Male;2023-08-22;Daly City
11270;Robert;L;Lee;Robert Lee;M;Male;2021-09-10;Lakewood
11271;Danielle;C;Reed;Danielle Reed;S;Female;2021-09-27;San Francisco
11272;Lauren;L;Martinez;Lauren Martinez;S;Female;2021-09-19;Beverly Hills
11273;Nathan;E;Lal;Nathan Lal;M;Male;2023-05-14;La Jolla
11274;Kyle;M;Foster;Kyle Foster;M;Male;2021-08-29;Bellingham
11275;Jenny;D;Rai;Jenny Rai;M;Female;2021-08-30;Colma
11276;Nancy;E;Chapman;Nancy Chapman;M;Female;2023-01-29;Cliffside
11277;Charles;P;Jackson;Charles Jackson;M;Male;2023-02-02;Royal Oak
11278;Jonathan;NULL;Phillips;Jonathan Phillips;S;Male;2021-09-16;Edmonds
11279;Amanda;S;Cook;Amanda Cook;M;Female;2023-03-03;Everett
11280;Robert;NULL;Collins;Robert Collins;M;Male;2023-07-01;Lynnwood
11281;Megan;J;Barnes;Megan Barnes;S;Female;2021-09-13;Burbank
11282;Christian;A;Thomas;Christian Thomas;M;Male;2021-08-31;Burien
11283;Arturo;NULL;Lal;Arturo Lal;M;Male;2023-05-29;Berkeley
11284;Theresa;NULL;Serrano;Theresa Serrano;M;Female;2023-02-06;Chula Vista
11285;Jeremy;J;Anderson;Jeremy Anderson;M;Male;2023-07-27;Fremont
11286;Hunter;D;Griffin;Hunter Griffin;M;Male;2021-09-21;Torrance
11287;Henry;B;Garcia;Henry Garcia;M;Male;2023-01-29;Cliffside
11288;Cindy;K;Sanchez;Cindy Sanchez;M;Female;2023-03-05;Burbank
11289;Maria;S;Carter;Maria Carter;M;Female;2021-09-08;Downey
11290;Katelyn;NULL;Sanchez;Katelyn Sanchez;M;Female;2021-09-20;Lakewood
11291;Jenna;NULL;Wright;Jenna Wright;M;Female;2021-09-04;Lemon Grove
11292;Seth;NULL;Phillips;Seth Phillips;S;Male;2021-09-15;San Gabriel
11293;Luke;S;Long;Luke Long;S;Male;2023-02-24;Port Orchard
11294;Dalton;P;Clark;Dalton Clark;M;Male;2023-09-25;Issaquah
11295;Taylor;G;Lewis;Taylor Lewis;S;Female;2021-09-25;Concord
11296;Haley;NULL;Richardson;Haley Richardson;S;Female;2021-09-01;Everett
11297;Noah;NULL;Coleman;Noah Coleman;S;Male;2021-09-26;Burbank
11298;Jon;NULL;Luo;Jon Luo;M;Male;2021-09-12;Chula Vista
11299;Orlando;E;Vazquez;Orlando Vazquez;M;Male;2021-09-26;Burbank
11300;Fernando;NULL;Barnes;Fernando Barnes;M;Male;2023-01-31;N. Vancouver
11301;Cameron;L;Rodriguez;Cameron Rodriguez;M;Male;2023-06-09;Ballard
11302;Spencer;NULL;Russell;Spencer Russell;S;Male;2021-09-06;Corvallis
11303;Julia;NULL;Coleman;Julia Coleman;S;Female;2021-09-02;Edmonds
11304;Julia;B;Garcia;Julia Garcia;M;Female;2023-03-20;Portland
11305;Sean;A;Evans;Sean Evans;M;Male;2023-03-25;Chula Vista
11306;Micah;A;Zhou;Micah Zhou;M;Male;2023-06-30;Coronado
11307;Hunter;P;Rodriguez;Hunter Rodriguez;M;Male;2021-09-04;Daly City
11308;Ian;T;Gonzales;Ian Gonzales;M;Male;2023-09-07;Oregon City
11309;Victoria;NULL;Lewis;Victoria Lewis;S;Female;2023-07-09;Beaverton
11310;Erin;A;Sanders;Erin Sanders;S;Female;2023-08-12;San Francisco
11311;Gabrielle;D;Lopez;Gabrielle Lopez;S;Female;2023-04-18;Lynnwood
11312;Sara;NULL;Richardson;Sara Richardson;S;Female;2023-05-17;Lynnwood
11313;Trevor;NULL;Jenkins;Trevor Jenkins;S;Male;2023-05-07;Port Orchard
11314;Mya;NULL;Flores;Mya Flores;S;Female;2023-02-25;Issaquah
11315;Hailey;J;Ward;Hailey Ward;S;Female;2023-05-20;Port Orchard
11316;Luke;NULL;Allen;Luke Allen;M;Male;2023-01-12;Langford
11317;Victoria;D;Russell;Victoria Russell;S;Female;2021-09-01;Salem
11318;Jessica;NULL;Wilson;Jessica Wilson;S;Female;2023-10-17;Edmonds
11319;Jade;E;Bailey;Jade Bailey;M;Female;2021-09-09;Oakland
11320;Morgan;M;Hill;Morgan Hill;M;Female;2023-06-15;Glendale
11321;Terrance;D;Raman;Terrance Raman;M;Male;2023-02-23;Burien
11322;Sydney;NULL;Garcia;Sydney Garcia;M;Female;2023-03-24;Bremerton
11323;Jose;NULL;Patterson;Jose Patterson;S;Male;2021-09-10;Daly City
11324;Zachary;NULL;Anderson;Zachary Anderson;M;Male;2021-09-26;Glendale
11325;Elijah;E;Ross;Elijah Ross;S;Male;2021-09-19;Seattle
11326;Rafael;M;Xie;Rafael Xie;M;Male;2021-09-15;Beverly Hills
11327;Jaime;C;Moreno;Jaime Moreno;M;Male;2021-09-26;Burbank
11328;Julian;M;Griffin;Julian Griffin;M;Male;2023-01-05;Newton
11329;Andy;NULL;Alvarez;Andy Alvarez;S;Male;2021-09-25;Concord
11330;Ryan;M;Thompson;Ryan Thompson;M;Male;2023-02-12;Oak Bay
11331;Samantha;NULL;Jenkins;Samantha Jenkins;M;Female;2023-02-07;Shawnee
11332;Deanna;D;Ramos;Deanna Ramos;S;Female;2021-10-15;Berlin
11333;Emily;R;Miller;Emily Miller;M;Female;2021-03-21;Newcastle upon Tyne
